epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,13241.6,0.63102,0.40059,0.88889,0.99895,1,0.995,0.75635,0.86043,0.38859,1.05427,0.0005744,0.0005744,0.0005744
74,13339.9,0.65233,0.40061,0.8917,0.99927,1,0.995,0.75212,0.88125,0.38475,1.0657,0.0005546,0.0005546,0.0005546
75,13445.3,0.64149,0.40063,0.88576,0.99925,1,0.995,0.75654,0.88198,0.38471,1.06686,0.0005348,0.0005348,0.0005348
76,13578.8,0.62855,0.38348,0.88321,0.99924,1,0.995,0.75976,0.85772,0.38176,1.05465,0.000515,0.000515,0.000515
77,13685.1,0.62336,0.38358,0.87431,0.9984,1,0.995,0.77098,0.85725,0.37862,1.05019,0.0004952,0.0004952,0.0004952
78,13790.8,0.62881,0.3903,0.88098,0.99514,1,0.995,0.76547,0.86598,0.38083,1.05446,0.0004754,0.0004754,0.0004754
79,13893.1,0.60005,0.37395,0.87973,0.9981,1,0.995,0.76704,0.86108,0.3772,1.05985,0.0004556,0.0004556,0.0004556
80,13995,0.6069,0.38517,0.88331,0.9993,1,0.995,0.753,0.86948,0.37656,1.07257,0.0004358,0.0004358,0.0004358
81,14096.1,0.64488,0.39639,0.87316,0.99927,1,0.995,0.74782,0.87961,0.3759,1.07813,0.000416,0.000416,0.000416
82,14177,0.58772,0.37098,0.87345,0.99928,1,0.995,0.74276,0.88039,0.3752,1.07951,0.0003962,0.0003962,0.0003962
83,14265.7,0.6272,0.39063,0.87627,0.99929,1,0.995,0.75068,0.87504,0.3765,1.07614,0.0003764,0.0003764,0.0003764
84,14334.3,0.61273,0.38432,0.87484,0.99932,1,0.995,0.74499,0.87599,0.38347,1.07357,0.0003566,0.0003566,0.0003566
85,14416.9,0.59458,0.36923,0.87468,0.99938,1,0.995,0.73887,0.89047,0.38339,1.07777,0.0003368,0.0003368,0.0003368
86,14523.1,0.60785,0.3724,0.89297,0.99943,1,0.995,0.73366,0.90576,0.38373,1.08356,0.000317,0.000317,0.000317
87,14632.7,0.64086,0.37786,0.88525,0.99941,1,0.995,0.73541,0.90498,0.38096,1.07946,0.0002972,0.0002972,0.0002972
88,14711.3,0.633,0.39203,0.87853,0.99936,1,0.995,0.745,0.89299,0.37762,1.06984,0.0002774,0.0002774,0.0002774
89,14817.8,0.58154,0.37311,0.86444,0.99934,1,0.995,0.74814,0.88963,0.37668,1.06665,0.0002576,0.0002576,0.0002576
90,14923.7,0.62103,0.37768,0.89941,0.99934,1,0.995,0.74321,0.88796,0.37647,1.06705,0.0002378,0.0002378,0.0002378
91,15029.4,0.57384,0.59783,0.8763,0.99936,1,0.995,0.74141,0.89395,0.37914,1.07273,0.000218,0.000218,0.000218
92,15126,0.54325,0.47471,0.86486,0.99941,1,0.995,0.74196,0.90204,0.38352,1.07832,0.0001982,0.0001982,0.0001982
93,15228.9,0.5473,0.45101,0.86883,0.99949,1,0.995,0.7404,0.90435,0.39116,1.08088,0.0001784,0.0001784,0.0001784
94,15334.4,0.55147,0.41065,0.84534,0.99956,1,0.995,0.74705,0.90384,0.39594,1.08798,0.0001586,0.0001586,0.0001586
95,15429.6,0.54182,0.39858,0.85278,0.9995,1,0.995,0.74802,0.89618,0.39863,1.08558,0.0001388,0.0001388,0.0001388
96,15536.2,0.54455,0.397,0.86084,0.99939,1,0.995,0.75284,0.89496,0.40079,1.08437,0.000119,0.000119,0.000119
97,15641.4,0.53849,0.40619,0.87717,0.99936,1,0.995,0.75532,0.89683,0.40011,1.08469,9.92e-05,9.92e-05,9.92e-05
98,15744,0.5202,0.40638,0.834,0.99936,1,0.995,0.75612,0.89962,0.39882,1.0869,7.94e-05,7.94e-05,7.94e-05
99,15850.4,0.5207,0.3898,0.86169,0.99938,1,0.995,0.75174,0.89521,0.39927,1.0781,5.96e-05,5.96e-05,5.96e-05
100,15947.6,0.51687,0.37661,0.83437,0.99937,1,0.995,0.74786,0.89645,0.39809,1.07972,3.98e-05,3.98e-05,3.98e-05
